"GreatPast,GreatFuture",Zoo/Aquarium,artMuseum,natural history museum,science and technology center,park,public library,live music,sporting event,lecture or talk about science,PoliticsInterest,CommunityInterest,SportsNewsInterest,BusinessInterest,ScienceNewsInterest,EntertainmentNewsInterest,HowOftenScienceNews,HowGetScienceNews,HealthMedInterest,TechInterest,EnvironmentInterest,NutritionInterest,AstromonyInterest,EvolutionInterest,BrainInterest,SciKnowledge,AltMethodsSci,RateNewsMediaScience,UseSocialMedia,WatchCrime,WatchMedical,WatchSciFi,Hobbies,ABCNews,CBSNews,NBCNews,BizInsider,Vox,IJR,PBS,Politico,LATimes,PoliticalViews,Language,Parent of 0-17 year olds,Occupation,ReligiousEvents,OwnSmartPhone,ComputerOwner,Age,Education,Race,Gender,HOH,HHSize,HousingType,Income,MaritalStatus,EmploymentStatus,Age,Children0-1,Children2-5,Children6-12,Children13-17,Adults18+
1,0,0,0,0,0,0,0,0,0,4,4,1,1,4,1,4,1,0,0,0,0,0,0,0,4,2,3,2,4,3,4,2,0,0,0,1,0,0,0,0,0,4,1,1,18,5,1,2,2,1,2,2,1,5,1,1,4,1,32,0,0,2,1,2
1,0,1,0,0,1,1,1,1,1,1,1,2,2,1,3,2,2,0,1,0,1,1,1,1,1,1,2,1,2,2,3,1,1,1,1,0,0,0,1,0,0,3,1,2,8,5,1,3,3,4,1,1,1,2,2,16,1,1,59,0,0,0,0,2
2,0,0,0,0,0,0,0,1,0,2,1,1,2,1,3,2,1,1,0,1,0,0,1,0,2,2,3,1,3,3,2,2,0,0,0,0,0,0,0,0,0,1,1,1,3,4,1,2,3,4,1,1,1,4,1,15,1,1,48,0,0,0,1,3
1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,2,2,1,1,0,0,0,0,0,1,2,2,2,1,1,2,2,1,0,1,0,1,0,0,0,0,1,2,1,1,1,6,1,3,3,4,1,1,1,2,1,18,4,1,56,0,0,1,0,1
2,1,1,0,0,0,1,1,1,0,1,1,1,2,2,2,2,1,1,1,1,1,0,0,1,2,2,2,2,1,3,3,2,1,0,0,0,0,0,1,0,0,1,1,2,-2,5,1,1,4,3,1,2,1,2,2,15,1,5,79,0,0,0,0,2
1,1,0,0,0,1,0,1,1,0,2,2,3,1,1,3,3,1,1,1,1,0,0,0,0,2,2,3,1,2,2,1,2,0,0,1,0,0,0,0,0,0,3,2,2,24,5,1,3,2,2,4,1,1,4,1,13,1,1,44,0,0,0,0,4
2,0,0,0,1,0,1,0,1,0,3,1,2,3,2,2,3,1,1,1,0,0,1,0,0,2,2,2,1,2,3,3,2,0,0,1,0,0,0,0,0,0,2,1,2,-2,4,1,2,1,1,4,2,0,4,1,12,5,7,19,0,0,0,3,1
1,0,0,1,1,1,1,1,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1,0,0,1,2,3,2,3,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,3,3,4,1,1,1,7,1,15,1,1,51,0,0,3,2,2
1,1,0,0,0,0,0,0,0,0,2,3,2,2,3,3,3,1,0,0,0,1,0,0,0,2,2,3,2,3,2,3,2,1,0,0,0,0,0,0,0,0,2,2,2,-2,6,4,5,2,1,4,1,1,2,3,1,3,7,38,0,0,0,0,2
2,0,0,0,0,1,0,1,1,0,2,1,1,2,3,2,4,1,1,0,0,1,0,0,0,2,2,2,2,2,1,4,2,0,1,0,0,0,0,0,0,0,2,1,2,-2,1,1,1,4,2,1,2,1,1,1,8,2,5,62,0,0,0,0,1
1,0,1,0,0,1,0,1,1,0,1,1,1,2,1,2,2,2,1,1,1,1,1,0,0,2,2,2,1,4,3,2,2,0,0,1,0,1,0,1,1,1,2,1,2,10,6,1,3,2,4,3,2,1,2,2,17,1,1,34,0,0,0,0,2
1,0,0,0,0,0,1,0,0,0,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,4,2,4,2,1,2,2,2,0,0,0,0,0,0,0,0,0,2,1,2,-2,2,4,2,4,2,4,2,1,6,3,1,3,5,68,0,0,2,0,4
2,1,0,0,0,0,0,0,0,0,2,1,3,2,3,2,3,2,1,0,0,0,0,0,1,2,2,2,1,3,3,1,2,1,0,0,0,0,0,0,0,0,3,1,2,22,6,2,2,3,3,1,2,1,2,1,12,1,1,59,0,0,0,0,2
2,0,0,1,0,1,0,1,1,0,2,3,2,2,2,2,1,2,1,1,0,1,0,1,0,2,2,2,2,2,3,3,2,0,0,0,0,0,0,0,0,0,1,1,2,1,4,1,3,4,4,1,1,1,1,1,16,2,2,61,0,0,0,0,1
2,0,1,1,0,0,1,0,0,0,1,2,2,1,1,2,2,2,1,1,1,1,0,1,1,2,2,2,2,2,2,3,2,1,1,1,0,0,0,1,1,1,3,1,2,29,6,2,3,4,4,1,1,1,1,1,12,3,2,67,0,0,0,0,1
1,0,1,0,0,1,1,1,1,0,2,1,2,3,2,2,3,2,0,1,1,1,1,0,0,3,2,3,2,2,3,3,2,0,1,0,0,0,0,0,0,0,4,1,2,25,6,1,1,3,2,1,1,1,2,1,17,1,1,52,0,0,0,0,2
2,1,0,0,1,1,1,0,0,0,2,2,2,2,1,2,1,2,1,1,1,0,1,1,1,2,2,3,1,2,3,1,2,0,0,0,0,0,0,1,0,1,2,1,1,3,5,1,3,3,4,3,1,1,3,1,16,1,1,45,0,1,0,0,2
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,3,2,1,2,2,2,2,2,1,1,1,0,0,0,0,0,0,2,1,2,-2,3,1,6,3,1,2,2,1,1,3,3,5,3,54,0,0,0,0,1
2,1,0,1,1,0,1,0,0,0,3,2,2,3,2,2,4,2,0,1,0,0,0,0,0,4,2,2,1,4,3,4,2,0,0,0,0,0,0,0,0,0,2,1,1,-2,5,2,2,2,3,1,1,1,4,1,17,1,7,34,0,1,1,0,2
1,0,0,0,1,1,1,1,0,1,3,2,4,4,1,4,2,2,1,0,1,0,0,1,1,1,2,4,1,2,2,2,2,0,0,0,0,0,0,0,0,0,4,1,2,9,2,1,3,1,4,1,2,1,2,3,11,5,1,28,0,0,0,0,2
1,0,1,1,0,1,0,1,0,0,2,2,3,2,1,3,2,1,0,1,1,1,1,0,0,2,2,2,2,2,4,2,1,1,1,1,0,0,0,0,0,0,1,1,1,-1,5,1,6,2,3,1,1,1,5,1,11,1,1,35,0,0,1,2,2
2,0,0,0,0,0,0,0,1,0,1,1,2,2,1,4,3,1,1,1,0,0,0,0,1,3,2,3,1,2,2,2,2,1,1,1,0,0,0,0,0,0,2,1,2,-2,2,2,2,4,2,2,1,1,2,1,6,1,5,65,0,0,0,0,2
1,0,1,1,1,1,0,0,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,0,1,0,0,0,0,0,0,0,3,1,2,20,2,1,3,2,2,1,1,0,1,3,11,5,1,44,0,0,0,0,1
2,1,1,0,1,1,0,1,1,0,3,2,2,3,2,2,3,2,1,0,0,1,0,0,0,3,2,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,2,1,2,27,5,1,2,3,3,1,2,1,2,1,6,1,1,51,0,0,0,0,2
1,1,0,0,0,1,1,1,1,0,1,2,1,4,2,4,4,2,1,1,0,1,1,0,1,2,2,3,1,3,3,1,2,1,1,1,0,0,0,0,0,0,1,1,1,-2,6,1,3,2,3,1,1,1,2,1,12,3,6,44,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,0,0,0,0,0,1,0,0,2,1,2,-2,2,3,3,1,3,2,1,0,3,1,6,5,7,20,0,0,0,1,2
